date,oil_rate_bbl_d,gas_rate_mscf_d,water_rate_bbl_d,wellhead_pressure_psi,temperature_f
2022-01-01,1050.12,812.03,0.0,2207.8,186.8
2022-01-02,1103.14,928.66,1.65,2243.4,184.6
2022-01-03,992.94,805.74,2.97,2200.2,186.8
2022-01-04,992.25,804.4,4.46,2215.7,187.7
2022-01-05,1050.13,752.72,6.29,2198.4,186.0
2022-01-06,1060.41,873.86,7.94,2186.5,186.1
2022-01-07,1031.66,801.58,9.28,2178.2,187.1
2022-01-08,1078.44,859.77,11.32,2182.3,188.4
2022-01-09,1101.42,837.34,13.21,2211.3,187.9
2022-01-10,1068.12,911.14,14.42,2224.3,189.4
2022-01-11,1047.46,785.19,15.71,2208.5,186.9
2022-01-12,1015.97,878.78,16.77,2188.4,189.1
2022-01-13,1029.66,812.56,18.54,2181.1,184.7
2022-01-14,954.54,745.91,18.63,2195.6,187.9
2022-01-15,962.39,724.91,20.23,2170.1,187.8
2022-01-16,1086.3,833.66,24.47,2207.3,191.8
2022-01-17,1110.2,865.98,26.69,2195.6,185.7
2022-01-18,949.79,753.51,24.26,2167.5,184.7
2022-01-19,1045.98,846.5,28.3,2215.3,185.5
2022-01-20,939.38,732.54,26.83,2160.0,185.8
2022-01-21,1099.31,889.62,33.06,2183.8,187.9
2022-01-22,1013.51,845.91,32.01,2198.1,184.6
2022-01-23,1140.71,946.5,37.75,2194.7,187.8
2022-01-24,979.62,796.17,33.9,2166.2,187.1
2022-01-25,984.81,795.48,35.57,2169.1,188.9
2022-01-26,1029.48,768.25,38.74,2156.9,188.3
2022-01-27,1053.6,838.95,41.25,2179.0,188.7
2022-01-28,1047.63,780.79,42.6,2189.7,188.1
2022-01-29,1054.51,873.25,44.48,2133.7,189.4
2022-01-30,992.94,793.76,43.39,2181.7,184.1
2022-01-31,1052.46,876.22,47.58,2159.4,184.2
2022-02-01,1113.16,928.76,52.02,2166.0,187.0
2022-02-02,1040.62,838.13,50.21,2145.2,187.2
2022-02-03,958.42,729.73,47.7,2152.8,185.0
2022-02-04,1019.35,713.21,52.28,2203.7,188.2
2022-02-05,899.23,727.86,47.48,2155.7,184.5
2022-02-06,1030.52,805.26,55.98,2160.9,186.5
2022-02-07,911.42,746.97,50.9,2141.5,187.0
2022-02-08,1028.75,838.99,59.02,2210.1,188.2
2022-02-09,989.84,803.37,58.29,2166.4,186.1
2022-02-10,1040.37,829.98,62.85,2155.3,189.5
2022-02-11,991.77,716.73,61.43,2172.8,190.4
2022-02-12,1057.97,886.39,67.14,2160.1,190.1
2022-02-13,1015.16,749.7,65.97,2148.3,190.7
2022-02-14,1039.97,793.01,69.17,2147.8,189.2
2022-02-15,965.54,748.31,65.69,2118.2,188.3
2022-02-16,961.75,758.59,66.9,2140.4,185.6
2022-02-17,913.56,708.43,64.94,2136.2,185.9
2022-02-18,924.99,708.66,67.17,2151.4,189.0
2022-02-19,984.3,806.78,72.98,2139.4,183.5
2022-02-20,981.53,721.98,74.27,2156.0,189.7
2022-02-21,996.75,769.2,76.95,2143.0,185.9
2022-02-22,942.27,664.7,74.18,2122.8,186.0
2022-02-23,982.97,734.68,78.89,2168.1,188.6
2022-02-24,1039.0,754.78,84.98,2129.3,187.6
2022-02-25,993.34,811.51,82.76,2146.7,186.2
2022-02-26,972.98,773.9,82.56,2108.1,185.3
2022-02-27,983.7,743.84,84.98,2148.4,184.1
2022-02-28,1028.87,681.1,90.45,2098.9,182.7
2022-03-01,975.83,710.32,87.29,2169.1,190.0
2022-03-02,941.12,700.88,85.62,2142.7,186.6
2022-03-03,940.42,727.72,87.0,2123.3,185.3
2022-03-04,937.58,766.84,88.18,2137.8,188.6
2022-03-05,935.2,683.96,89.39,2099.7,185.5
2022-03-06,999.36,734.34,97.06,2119.7,185.6
2022-03-07,1041.84,752.21,102.78,2137.3,189.5
2022-03-08,939.41,740.39,94.12,2132.5,188.6
2022-03-09,914.6,642.57,93.04,2119.6,187.4
2022-03-10,895.85,643.65,92.51,2124.7,186.0
2022-03-11,1037.89,837.17,108.78,2138.7,187.5
2022-03-12,1000.34,848.37,106.38,2130.2,188.2
2022-03-13,920.59,727.76,99.31,2076.9,187.6
2022-03-14,958.53,743.49,104.88,2113.0,189.5
2022-03-15,1017.36,889.02,112.88,2112.2,185.1
2022-03-16,946.46,726.39,106.47,2085.5,186.6
2022-03-17,989.2,759.32,112.81,2088.1,188.2
2022-03-18,939.72,720.67,108.61,2137.8,185.9
2022-03-19,931.96,789.52,109.15,2092.0,189.0
2022-03-20,819.63,663.3,97.26,2096.8,189.8
2022-03-21,924.49,747.78,111.13,2087.9,187.2
2022-03-22,917.14,734.54,111.66,2110.9,187.8
2022-03-23,965.72,743.64,119.06,2106.9,186.7
2022-03-24,951.8,737.93,118.81,2138.8,186.5
2022-03-25,948.17,711.15,119.82,2088.0,189.6
2022-03-26,982.37,758.81,125.66,2107.9,185.4
2022-03-27,827.09,660.98,107.08,2058.3,188.7
2022-03-28,933.06,728.1,122.24,2066.4,186.1
2022-03-29,879.57,721.18,116.59,2120.1,185.4
2022-03-30,874.66,698.31,117.29,2114.3,189.1
2022-03-31,918.35,730.56,124.57,2099.7,188.5
2022-04-01,931.73,702.37,127.82,2112.1,185.8
2022-04-02,952.91,704.88,132.2,2066.7,186.7
2022-04-03,948.65,705.46,133.08,2120.0,186.8
2022-04-04,888.93,738.61,126.08,2065.0,187.5
2022-04-05,916.97,660.2,131.47,2090.8,186.1
2022-04-06,991.4,788.67,143.68,2138.5,190.5
2022-04-07,998.33,794.21,146.23,2064.1,184.9
2022-04-08,908.48,691.42,134.47,2107.4,184.0
2022-04-09,925.76,728.22,138.47,2098.5,186.8
2022-04-10,879.09,698.68,132.85,2067.2,183.1
2022-04-11,966.4,717.57,147.54,2118.4,185.5
2022-04-12,1024.35,775.36,157.97,2057.0,185.8
2022-04-13,892.37,698.5,139.0,2073.2,187.1
2022-04-14,969.61,760.14,152.54,2085.5,186.7
2022-04-15,948.3,694.16,150.65,2069.5,187.5
2022-04-16,905.81,713.93,145.31,2132.3,185.5
2022-04-17,880.58,695.36,142.63,2043.7,186.3
2022-04-18,1024.12,843.99,167.46,2099.9,188.2
2022-04-19,944.93,740.72,155.98,2021.0,182.5
2022-04-20,952.5,732.32,158.71,2007.1,187.9
2022-04-21,898.19,732.0,151.05,2064.7,182.8
2022-04-22,909.43,753.57,154.36,2077.1,187.1
2022-04-23,850.44,620.96,145.66,2090.9,188.1
2022-04-24,938.82,717.28,162.26,2092.0,187.7
2022-04-25,886.37,621.63,154.57,2062.5,185.8
2022-04-26,855.85,639.08,150.58,2067.2,187.6
2022-04-27,862.51,727.16,153.09,2060.8,185.2
2022-04-28,1008.37,748.43,180.55,2085.2,189.8
2022-04-29,885.42,710.85,159.91,2028.7,188.7
2022-04-30,914.19,731.93,166.52,2038.8,185.2
2022-05-01,842.98,641.89,154.86,2068.0,189.8
2022-05-02,886.96,679.9,164.32,2070.6,187.5
2022-05-03,833.03,699.17,155.63,2075.2,184.8
2022-05-04,909.81,747.51,171.38,2045.6,189.4
2022-05-05,851.47,742.99,161.72,2035.8,190.4
2022-05-06,926.53,633.54,177.42,2058.5,186.6
2022-05-07,810.23,652.63,156.41,2021.2,187.8
2022-05-08,860.67,594.27,167.48,2075.2,187.0
2022-05-09,939.87,735.73,184.36,2030.6,188.2
2022-05-10,954.5,740.26,188.71,2033.8,188.7
2022-05-11,885.7,654.61,176.49,2053.1,189.0
2022-05-12,867.16,659.38,174.14,2022.3,183.4
2022-05-13,888.37,686.19,179.79,2012.6,186.0
2022-05-14,972.64,779.49,198.35,2057.3,189.0
2022-05-15,869.2,642.35,178.61,2012.1,185.7
2022-05-16,880.08,664.57,182.22,2036.9,187.8
2022-05-17,832.57,669.92,173.68,2030.9,185.2
2022-05-18,848.0,689.0,178.22,1991.2,188.4
2022-05-19,895.96,795.42,189.69,2007.0,187.1
2022-05-20,914.65,723.27,195.07,2033.8,188.3
2022-05-21,887.68,718.21,190.7,2050.1,187.9
2022-05-22,909.65,705.24,196.84,2008.9,184.3
2022-05-23,828.65,695.56,180.6,2005.2,191.3
2022-05-24,823.3,615.31,180.72,2034.3,184.5
2022-05-25,904.67,706.98,199.99,2036.4,192.0
2022-05-26,848.34,673.59,188.86,2037.8,182.8
2022-05-27,816.97,656.33,183.15,2022.3,187.2
2022-05-28,875.65,718.91,197.67,2006.0,184.3
2022-05-29,869.5,674.81,197.63,2031.0,190.3
2022-05-30,856.49,701.71,196.01,2012.4,185.0
2022-05-31,932.15,678.96,214.78,2026.2,184.9
2022-06-01,943.4,749.09,218.84,2001.2,187.1
2022-06-02,902.81,640.75,210.84,2006.1,189.9
2022-06-03,878.88,681.3,206.62,2019.8,189.5
2022-06-04,918.63,810.8,217.39,1966.7,186.6
2022-06-05,865.03,687.34,206.06,2033.3,186.4
2022-06-06,848.88,649.65,203.53,2004.3,188.1
2022-06-07,831.14,668.55,200.57,1947.7,187.0
2022-06-08,821.61,642.69,199.56,2006.2,187.2
2022-06-09,893.61,661.07,218.44,1992.9,186.8
2022-06-10,788.87,561.21,194.06,1979.5,188.3
2022-06-11,826.55,647.68,204.62,2038.2,188.0
2022-06-12,835.75,648.9,208.2,2014.6,190.1
2022-06-13,789.94,611.49,198.02,1993.4,185.8
2022-06-14,832.07,680.09,209.88,1996.4,185.8
2022-06-15,851.59,714.44,216.13,1999.4,186.9
2022-06-16,890.05,724.0,227.28,1960.3,186.7
2022-06-17,824.12,635.93,211.73,2044.2,188.8
2022-06-18,848.71,670.62,219.37,1991.2,185.0
2022-06-19,780.39,646.74,202.93,2025.3,189.6
2022-06-20,791.12,648.72,206.95,1970.9,186.5
2022-06-21,761.23,615.15,200.32,1998.4,189.4
2022-06-22,881.38,675.41,233.31,1961.7,192.1
2022-06-23,825.45,684.21,219.79,1926.5,189.1
2022-06-24,847.42,712.71,226.96,2001.0,188.3
2022-06-25,859.03,704.69,231.41,1985.6,189.3
2022-06-26,869.87,786.36,235.68,1969.9,186.5
2022-06-27,918.76,751.12,250.36,1911.7,187.6
2022-06-28,832.27,693.48,228.09,1968.6,185.7
