date,oil_rate_bbl_d,gas_rate_mscf_d,water_rate_bbl_d,wellhead_pressure_psi,temperature_f
2022-01-01,311.04,203.99,0.0,3442.3,233.4
2022-01-02,293.59,197.85,0.51,3403.1,235.8
2022-01-03,290.36,188.17,1.02,3403.5,237.9
2022-01-04,291.02,192.89,1.53,3382.1,236.7
2022-01-05,304.12,191.96,2.13,3406.3,232.7
2022-01-06,297.89,209.39,2.61,3374.7,234.0
2022-01-07,279.96,186.76,2.94,3389.4,232.9
2022-01-08,285.38,188.45,3.5,3336.5,237.5
2022-01-09,302.98,208.83,4.25,3388.8,235.4
2022-01-10,298.07,211.56,4.7,3389.1,232.5
2022-01-11,302.07,221.77,5.3,3368.4,233.7
2022-01-12,326.92,206.42,6.31,3370.2,232.6
2022-01-13,306.52,209.13,6.45,3364.8,233.7
2022-01-14,273.88,189.2,6.25,3389.5,235.7
2022-01-15,292.06,191.71,7.18,3362.7,233.3
2022-01-16,306.48,195.6,8.07,3398.7,234.7
2022-01-17,290.59,202.83,8.17,3397.2,235.2
2022-01-18,285.39,179.58,8.52,3367.3,230.7
2022-01-19,313.53,210.95,9.92,3394.6,231.1
2022-01-20,293.17,186.56,9.79,3390.3,233.6
2022-01-21,285.97,188.99,10.06,3366.9,232.8
2022-01-22,285.73,173.79,10.55,3338.7,235.4
2022-01-23,323.28,202.11,12.51,3361.3,233.8
2022-01-24,280.68,168.3,11.36,3356.0,236.0
2022-01-25,294.25,219.87,12.43,3338.3,235.5
2022-01-26,294.71,180.33,12.97,3386.9,236.3
2022-01-27,306.62,211.07,14.04,3357.1,233.5
2022-01-28,283.95,180.11,13.5,3318.0,234.1
2022-01-29,283.08,164.43,13.96,3347.5,238.6
2022-01-30,307.06,205.1,15.69,3338.0,232.4
2022-01-31,331.3,246.58,17.52,3343.4,235.9
2022-02-01,285.91,181.13,15.63,3328.8,236.6
2022-02-02,284.51,204.85,16.06,3304.5,235.5
2022-02-03,329.94,238.93,19.21,3348.5,236.3
2022-02-04,287.71,179.48,17.26,3360.8,234.5
2022-02-05,287.87,173.38,17.78,3314.1,235.5
2022-02-06,295.26,187.01,18.76,3317.2,235.0
2022-02-07,298.14,207.26,19.48,3340.1,231.7
2022-02-08,295.37,175.08,19.82,3305.7,234.1
2022-02-09,305.36,206.28,21.04,3329.8,231.5
2022-02-10,270.62,179.27,19.13,3309.0,235.8
2022-02-11,287.19,183.1,20.81,3291.7,235.0
2022-02-12,305.85,196.65,22.71,3293.9,236.4
2022-02-13,256.38,167.48,19.49,3302.2,232.3
2022-02-14,270.2,178.92,21.03,3301.3,234.7
2022-02-15,299.03,213.31,23.8,3275.3,234.8
2022-02-16,289.59,186.94,23.57,3299.8,238.6
2022-02-17,278.66,182.82,23.18,3249.3,234.1
2022-02-18,292.07,198.5,24.82,3304.5,233.4
2022-02-19,293.44,183.87,25.46,3304.1,234.6
2022-02-20,273.97,195.12,24.26,3271.0,237.8
2022-02-21,285.2,180.18,25.77,3285.0,236.3
2022-02-22,269.07,181.56,24.79,3272.7,235.8
2022-02-23,301.93,196.41,28.36,3271.1,234.1
2022-02-24,262.81,173.29,25.16,3271.6,234.1
2022-02-25,282.8,205.07,27.58,3271.5,237.5
2022-02-26,295.49,197.35,29.34,3261.5,233.7
2022-02-27,312.21,198.61,31.57,3274.7,233.5
2022-02-28,280.67,176.42,28.88,3297.4,231.2
2022-03-01,321.9,225.61,33.7,3274.1,231.4
2022-03-02,266.51,179.62,28.38,3258.6,236.8
2022-03-03,290.46,186.62,31.45,3284.5,230.5
2022-03-04,271.91,189.12,29.93,3280.6,237.8
2022-03-05,304.4,192.41,34.06,3272.9,234.0
2022-03-06,279.68,176.28,31.8,3261.2,235.3
2022-03-07,266.06,174.11,30.73,3259.1,236.7
2022-03-08,297.48,193.14,34.89,3261.5,233.3
2022-03-09,273.57,164.48,32.58,3269.3,235.7
2022-03-10,261.15,167.71,31.57,3229.8,232.5
2022-03-11,274.41,185.96,33.67,3238.2,233.3
2022-03-12,292.53,189.13,36.42,3256.9,235.4
2022-03-13,276.0,181.59,34.86,3238.6,235.4
2022-03-14,272.22,170.26,34.87,3235.9,235.3
2022-03-15,277.22,185.32,36.01,3249.2,237.5
2022-03-16,243.56,164.49,32.08,3210.5,234.4
2022-03-17,315.99,222.93,42.19,3245.9,237.8
2022-03-18,275.28,178.54,37.25,3206.4,234.7
2022-03-19,288.94,187.99,39.62,3215.0,235.7
2022-03-20,295.83,201.19,41.1,3188.6,236.0
2022-03-21,260.05,170.11,36.6,3208.4,233.5
2022-03-22,256.85,174.65,36.61,3226.6,235.0
2022-03-23,295.86,202.16,42.71,3216.7,231.6
2022-03-24,262.41,163.73,38.35,3205.7,234.8
2022-03-25,267.86,166.72,39.64,3216.9,234.7
2022-03-26,262.42,167.97,39.31,3214.9,235.6
2022-03-27,231.54,139.49,35.1,3182.1,234.3
2022-03-28,268.91,193.72,41.25,3223.1,238.1
2022-03-29,270.58,167.01,42.0,3210.5,231.1
2022-03-30,285.71,199.22,44.86,3167.6,232.2
2022-03-31,264.65,165.48,42.04,3226.6,232.6
2022-04-01,262.09,182.08,42.1,3186.3,234.5
2022-04-02,277.26,193.6,45.04,3168.4,233.0
2022-04-03,281.67,169.58,46.27,3161.7,232.2
2022-04-04,253.46,166.16,42.09,3153.6,233.5
2022-04-05,242.08,173.23,40.65,3173.0,231.6
2022-04-06,298.35,197.68,50.63,3165.4,235.3
2022-04-07,288.94,199.08,49.56,3155.6,235.1
2022-04-08,258.59,172.7,44.82,3169.3,232.0
2022-04-09,262.75,180.91,46.02,3203.8,236.3
2022-04-10,266.2,186.59,47.11,3157.0,231.9
2022-04-11,254.86,166.47,45.56,3162.1,233.5
2022-04-12,258.08,170.18,46.61,3177.8,235.0
2022-04-13,263.91,171.26,48.14,3200.2,234.7
2022-04-14,246.26,152.29,45.37,3165.5,231.4
2022-04-15,295.76,201.83,55.03,3168.6,235.4
2022-04-16,242.0,160.18,45.46,3174.1,234.4
2022-04-17,236.17,165.5,44.8,3164.6,238.3
2022-04-18,275.52,199.31,52.76,3119.4,235.7
2022-04-19,257.96,165.49,49.87,3134.9,237.5
2022-04-20,268.41,173.3,52.37,3162.1,232.7
2022-04-21,262.43,167.65,51.69,3135.0,231.4
2022-04-22,257.05,181.74,51.09,3117.4,237.2
2022-04-23,260.4,159.87,52.23,3135.7,235.2
2022-04-24,266.58,178.76,53.96,3149.9,238.2
2022-04-25,275.78,168.31,56.32,3146.7,236.8
2022-04-26,250.68,177.43,51.65,3135.2,236.7
2022-04-27,266.29,181.95,55.35,3095.1,235.4
2022-04-28,253.74,162.0,53.2,3133.8,232.8
2022-04-29,254.65,183.0,53.86,3101.5,232.5
2022-04-30,247.64,156.74,52.83,3136.3,230.5
2022-05-01,254.87,169.05,54.83,3130.3,233.5
2022-05-02,242.4,142.2,52.59,3109.7,234.5
2022-05-03,243.21,165.36,53.21,3091.4,234.3
2022-05-04,245.77,159.15,54.22,3138.7,234.6
2022-05-05,228.05,148.65,50.72,3119.7,230.3
2022-05-06,244.57,153.46,54.84,3092.9,234.9
2022-05-07,249.94,155.69,56.5,3138.8,237.6
2022-05-08,260.59,167.09,59.38,3107.9,232.9
2022-05-09,237.77,166.85,54.62,3091.8,231.7
2022-05-10,254.71,171.35,58.97,3123.7,231.4
2022-05-11,259.59,163.7,60.57,3116.2,233.3
2022-05-12,250.97,147.05,59.02,3109.7,233.8
2022-05-13,256.4,185.6,60.76,3100.7,234.9
2022-05-14,256.34,148.09,61.21,3071.1,236.1
2022-05-15,248.6,173.16,59.82,3069.9,232.6
2022-05-16,244.38,165.09,59.25,3080.9,233.5
2022-05-17,254.58,166.16,62.19,3047.0,231.2
2022-05-18,238.35,152.61,58.65,3090.1,235.7
2022-05-19,223.31,152.85,55.36,3080.6,233.7
2022-05-20,242.11,168.34,60.46,3081.0,234.0
2022-05-21,243.75,169.55,61.32,3109.0,237.1
2022-05-22,252.38,175.65,63.95,3052.6,234.7
