date,oil_rate_bbl_d,gas_rate_mscf_d,water_rate_bbl_d,wellhead_pressure_psi,temperature_f
2022-01-01,375.81,737.72,0.0,1567.3,251.2
2022-01-02,331.48,670.2,0.69,1521.1,256.6
2022-01-03,396.25,806.67,1.64,1563.0,253.8
2022-01-04,368.31,713.26,2.29,1556.3,254.4
2022-01-05,391.2,820.73,3.25,1501.2,258.3
2022-01-06,437.79,868.14,4.54,1525.4,251.1
2022-01-07,418.1,850.06,5.21,1554.8,253.5
2022-01-08,371.76,698.48,5.4,1565.8,251.4
2022-01-09,366.46,769.21,6.09,1546.1,254.5
2022-01-10,410.16,799.96,7.67,1522.5,252.8
2022-01-11,365.27,768.68,7.59,1509.8,251.5
2022-01-12,402.95,839.4,9.22,1539.1,255.3
2022-01-13,435.69,860.83,10.88,1518.0,253.9
2022-01-14,395.53,787.18,10.7,1517.5,251.4
2022-01-15,404.56,782.04,11.79,1519.4,251.5
2022-01-16,401.65,751.38,12.55,1540.2,254.3
2022-01-17,370.03,743.27,12.33,1557.4,250.5
2022-01-18,385.48,772.4,13.65,1540.4,254.3
2022-01-19,361.18,647.5,13.55,1518.8,256.6
2022-01-20,403.08,783.02,15.97,1499.3,255.2
2022-01-21,357.5,727.62,14.91,1529.3,252.6
2022-01-22,390.58,817.72,17.11,1548.0,254.4
2022-01-23,398.02,804.55,18.27,1533.4,251.4
2022-01-24,366.81,661.23,17.61,1516.2,254.1
2022-01-25,361.87,668.67,18.14,1501.0,253.2
2022-01-26,371.58,712.28,19.4,1516.4,251.8
2022-01-27,357.42,745.96,19.42,1531.2,255.1
2022-01-28,376.39,711.91,21.24,1511.5,249.9
2022-01-29,355.73,730.63,20.82,1503.5,251.5
2022-01-30,356.46,673.67,21.62,1490.5,251.7
2022-01-31,381.7,764.38,23.95,1554.7,252.9
2022-02-01,382.35,710.77,24.8,1483.8,256.5
2022-02-02,364.82,704.74,24.43,1480.7,255.4
2022-02-03,339.19,624.2,23.43,1502.3,254.1
2022-02-04,390.58,816.86,27.81,1493.7,254.0
2022-02-05,360.08,677.99,26.4,1516.9,253.8
2022-02-06,405.62,730.02,30.6,1516.3,256.6
2022-02-07,364.64,653.45,28.28,1469.6,250.2
2022-02-08,368.93,716.57,29.39,1477.5,255.4
2022-02-09,357.91,682.17,29.27,1473.8,252.9
2022-02-10,369.62,744.38,31.01,1505.7,254.9
2022-02-11,427.92,824.9,36.81,1497.3,254.9
2022-02-12,357.57,738.15,31.52,1480.0,255.3
2022-02-13,386.47,739.34,34.89,1490.5,257.0
2022-02-14,364.31,747.1,33.66,1462.4,251.1
2022-02-15,383.29,712.04,36.23,1468.8,255.9
2022-02-16,326.5,589.02,31.56,1456.3,253.7
2022-02-17,395.87,740.42,39.1,1484.0,252.9
2022-02-18,366.31,674.21,36.96,1482.6,257.9
2022-02-19,354.73,649.03,36.55,1458.8,255.3
2022-02-20,375.14,746.89,39.45,1485.6,253.0
2022-02-21,360.88,694.65,38.72,1497.1,255.8
2022-02-22,337.16,662.34,36.89,1454.1,253.8
2022-02-23,313.81,628.27,35.0,1466.9,253.0
2022-02-24,389.0,694.84,44.22,1482.4,252.7
2022-02-25,351.87,705.94,40.75,1470.7,254.5
2022-02-26,344.34,631.21,40.61,1442.1,252.6
2022-02-27,345.12,653.8,41.44,1459.5,254.2
2022-02-28,379.92,670.98,46.43,1457.6,255.6
2022-03-01,344.73,694.45,42.87,1462.4,254.1
2022-03-02,364.15,650.33,46.06,1462.0,257.8
2022-03-03,346.28,634.94,44.54,1494.6,253.9
2022-03-04,329.51,606.51,43.09,1457.8,256.6
2022-03-05,366.77,710.84,48.75,1426.4,255.8
2022-03-06,369.67,715.36,49.92,1461.3,256.9
2022-03-07,337.87,685.81,46.35,1493.2,257.8
2022-03-08,348.49,676.22,48.55,1453.6,250.3
2022-03-09,350.23,716.17,49.55,1446.9,254.4
2022-03-10,355.69,706.97,51.08,1448.3,253.6
2022-03-11,381.58,709.13,55.62,1464.9,254.1
2022-03-12,341.13,643.22,50.45,1445.7,253.1
2022-03-13,340.43,714.22,51.08,1420.4,252.8
2022-03-14,342.52,709.13,52.13,1436.0,251.7
2022-03-15,328.7,667.59,50.73,1446.9,254.1
2022-03-16,314.7,643.2,49.24,1457.6,255.7
2022-03-17,346.06,690.74,54.89,1434.0,252.9
2022-03-18,352.22,698.56,56.63,1438.5,253.2
2022-03-19,342.62,669.99,55.82,1444.1,252.5
2022-03-20,340.91,721.48,56.27,1426.4,251.9
2022-03-21,326.05,621.24,54.52,1438.9,253.4
