date,oil_rate_bbl_d,gas_rate_mscf_d,water_rate_bbl_d,wellhead_pressure_psi,temperature_f
2022-01-01,225.31,314.39,0.0,1550.6,175.9
2022-01-02,218.69,334.17,0.92,1573.7,180.8
2022-01-03,220.04,330.43,1.84,1510.6,176.4
2022-01-04,234.33,327.74,2.95,1518.2,178.0
2022-01-05,230.13,338.11,3.86,1542.8,174.1
2022-01-06,223.91,350.18,4.7,1493.5,176.6
2022-01-07,216.63,332.86,5.46,1491.3,172.5
2022-01-08,215.87,325.14,6.35,1509.9,175.5
2022-01-09,225.42,336.1,7.59,1524.1,176.5
2022-01-10,236.74,336.02,8.97,1492.2,178.5
2022-01-11,229.14,340.27,9.65,1528.3,176.2
2022-01-12,201.27,308.71,9.33,1533.5,176.4
2022-01-13,225.87,333.19,11.43,1483.0,174.6
2022-01-14,209.42,328.15,11.49,1528.9,176.2
2022-01-15,212.83,303.26,12.58,1522.5,178.0
2022-01-16,223.89,338.18,14.19,1511.9,171.3
2022-01-17,213.74,324.88,14.46,1534.0,178.2
2022-01-18,221.6,349.14,15.94,1518.6,175.8
2022-01-19,208.7,323.04,15.9,1503.1,176.2
2022-01-20,193.12,278.69,15.54,1497.0,175.7
2022-01-21,203.45,320.55,17.24,1507.2,175.2
2022-01-22,190.24,279.61,16.94,1490.8,174.1
2022-01-23,212.67,309.4,19.85,1505.9,174.7
2022-01-24,202.97,300.49,19.81,1509.3,174.3
2022-01-25,203.48,306.49,20.74,1490.6,177.7
2022-01-26,203.31,324.36,21.59,1475.1,179.5
2022-01-27,214.53,330.02,23.71,1461.0,175.7
2022-01-28,209.54,332.88,24.06,1484.3,175.4
2022-01-29,171.71,267.97,20.46,1502.6,176.2
2022-01-30,179.35,284.91,22.14,1486.5,174.2
2022-01-31,213.04,317.32,27.22,1430.0,177.2
2022-02-01,204.67,266.88,27.03,1487.7,176.3
2022-02-02,199.1,323.62,27.16,1453.0,172.2
