date,oil_rate_bbl_d,gas_rate_mscf_d,water_rate_bbl_d,wellhead_pressure_psi,temperature_f
2022-01-01,325.67,393.39,0.0,1779.6,214.1
2022-01-02,299.3,346.48,1.08,1771.4,219.4
2022-01-03,353.07,461.71,2.54,1729.1,220.2
2022-01-04,308.13,358.22,3.33,1765.6,218.8
2022-01-05,295.49,352.02,4.25,1772.6,218.5
2022-01-06,307.47,388.79,5.54,1726.5,220.2
2022-01-07,294.73,361.17,6.37,1733.2,214.6
2022-01-08,290.25,361.46,7.33,1745.3,214.6
2022-01-09,323.15,360.5,9.33,1761.7,215.9
2022-01-10,314.55,390.0,10.22,1728.7,217.3
2022-01-11,313.65,369.5,11.33,1736.1,216.1
2022-01-12,324.31,364.71,12.89,1721.0,214.7
2022-01-13,311.34,367.72,13.51,1732.2,216.7
2022-01-14,286.86,338.28,13.49,1750.1,216.5
2022-01-15,312.83,399.56,15.85,1728.7,218.4
2022-01-16,284.25,338.38,15.44,1716.8,216.8
2022-01-17,293.14,329.06,16.99,1720.8,212.9
2022-01-18,298.74,331.32,18.41,1702.8,217.5
2022-01-19,296.33,345.34,19.35,1696.4,219.9
2022-01-20,270.98,295.23,18.68,1737.8,216.8
2022-01-21,282.39,318.07,20.5,1743.9,218.7
2022-01-22,295.53,341.0,22.54,1672.8,215.7
2022-01-23,285.97,327.0,22.86,1717.7,217.8
2022-01-24,310.66,376.08,25.98,1720.7,215.2
2022-01-25,312.24,351.28,27.26,1676.7,216.2
2022-01-26,275.96,282.55,25.11,1689.0,216.2
2022-01-27,292.34,312.71,27.67,1684.3,217.7
2022-01-28,313.59,365.99,30.84,1731.3,215.1
2022-01-29,287.78,326.31,29.36,1723.8,213.8
2022-01-30,282.98,310.12,29.92,1669.8,217.7
2022-01-31,300.39,385.25,32.87,1656.5,217.6
2022-02-01,283.2,344.53,32.03,1698.7,216.9
2022-02-02,304.47,354.62,35.56,1691.6,218.6
2022-02-03,276.94,327.27,33.37,1703.1,216.3
2022-02-04,277.82,320.23,34.51,1654.5,217.3
2022-02-05,294.93,322.92,37.72,1687.6,216.0
2022-02-06,284.3,349.21,37.42,1656.0,216.2
2022-02-07,283.56,345.33,38.37,1680.6,217.4
2022-02-08,254.34,267.73,35.36,1664.9,221.3
2022-02-09,275.39,325.34,39.31,1701.2,218.2
2022-02-10,291.58,346.34,42.71,1669.6,217.8
2022-02-11,267.75,307.74,40.21,1651.9,218.3
2022-02-12,287.57,371.15,44.26,1658.5,212.0
2022-02-13,280.72,360.53,44.25,1651.2,217.4
2022-02-14,273.42,313.37,44.11,1627.7,218.5
2022-02-15,294.05,339.66,48.54,1686.8,216.9
2022-02-16,269.87,309.88,45.55,1677.8,216.6
2022-02-17,270.02,305.77,46.58,1639.9,214.8
2022-02-18,270.01,300.89,47.59,1654.9,215.9
2022-02-19,273.18,327.19,49.16,1679.5,215.1
2022-02-20,281.67,361.3,51.74,1660.8,218.7
2022-02-21,250.54,315.35,46.96,1627.4,219.7
2022-02-22,281.35,341.62,53.78,1629.4,220.6
2022-02-23,269.76,277.19,52.57,1594.3,215.0
2022-02-24,275.46,291.78,54.71,1641.8,215.4
2022-02-25,299.2,368.1,60.55,1648.7,215.2
2022-02-26,259.62,327.83,53.51,1646.4,214.7
2022-02-27,249.38,299.37,52.33,1633.0,214.7
2022-02-28,267.42,307.6,57.11,1623.6,215.7
2022-03-01,268.71,335.11,58.39,1594.2,218.5
2022-03-02,274.74,333.03,60.73,1618.1,215.3
2022-03-03,255.42,315.33,57.41,1596.7,218.8
2022-03-04,250.84,265.81,57.32,1617.4,219.5
2022-03-05,240.92,286.25,55.96,1589.2,217.3
2022-03-06,242.35,308.21,57.2,1612.5,219.2
2022-03-07,253.96,304.49,60.89,1626.2,214.0
2022-03-08,257.08,314.54,62.59,1604.9,215.6
2022-03-09,284.43,332.86,70.32,1601.5,217.1
2022-03-10,235.29,276.3,59.05,1610.8,217.2
2022-03-11,260.57,325.73,66.37,1625.6,219.6
2022-03-12,246.23,278.0,63.64,1585.6,214.7
2022-03-13,257.58,289.34,67.54,1595.8,215.6
2022-03-14,246.96,281.58,65.67,1613.3,216.5
2022-03-15,266.33,311.48,71.82,1594.1,215.7
2022-03-16,265.46,285.13,72.58,1538.3,214.6
2022-03-17,250.29,303.06,69.37,1561.6,215.8
2022-03-18,269.02,311.67,75.56,1588.6,216.2
2022-03-19,259.72,316.34,73.92,1563.2,219.6
2022-03-20,266.83,278.67,76.94,1597.7,214.7
2022-03-21,248.18,302.34,72.49,1603.7,218.3
2022-03-22,259.77,323.73,76.85,1552.4,219.3
2022-03-23,237.74,283.8,71.22,1541.2,215.7
2022-03-24,235.78,275.83,71.51,1552.3,217.2
2022-03-25,272.54,332.14,83.68,1548.8,217.9
2022-03-26,231.72,287.89,72.01,1585.6,217.5
2022-03-27,238.96,286.44,75.16,1531.8,216.9
2022-03-28,220.45,265.21,70.15,1565.1,215.4
2022-03-29,232.56,294.17,74.88,1575.7,218.0
2022-03-30,230.07,278.98,74.93,1562.0,216.0
2022-03-31,233.29,261.61,76.85,1552.0,216.8
2022-04-01,244.27,303.41,81.38,1537.7,217.1
2022-04-02,246.43,286.09,83.02,1575.7,218.4
2022-04-03,227.18,265.82,77.38,1531.5,220.6
2022-04-04,229.09,269.04,78.88,1553.0,215.2
2022-04-05,250.68,307.01,87.24,1528.6,216.8
2022-04-06,257.3,326.85,90.51,1492.7,213.7
2022-04-07,251.22,293.82,89.3,1521.8,219.7
2022-04-08,216.27,274.5,77.68,1521.8,216.8
2022-04-09,248.94,293.19,90.34,1519.8,216.1
2022-04-10,255.98,319.98,93.84,1507.2,216.8
2022-04-11,213.76,252.18,79.16,1530.6,216.9
2022-04-12,245.47,279.69,91.81,1530.6,215.3
2022-04-13,234.79,300.62,88.68,1507.4,219.1
2022-04-14,227.69,258.16,86.84,1505.0,218.0
2022-04-15,232.01,262.15,89.35,1488.0,218.3
2022-04-16,235.2,257.49,91.45,1511.9,215.4
2022-04-17,242.69,301.45,95.26,1532.1,215.2
2022-04-18,241.37,303.15,95.63,1529.8,216.5
2022-04-19,210.86,250.91,84.32,1488.0,218.3
2022-04-20,219.99,244.33,88.78,1537.6,217.7
2022-04-21,227.74,265.94,92.75,1488.3,215.2
2022-04-22,243.77,280.45,100.17,1473.0,218.1
2022-04-23,194.6,215.6,80.68,1463.8,214.8
2022-04-24,217.79,248.19,91.1,1467.3,215.4
2022-04-25,206.87,247.76,87.29,1493.3,217.0
2022-04-26,208.02,235.65,88.54,1479.2,214.4
2022-04-27,233.62,276.88,100.29,1469.5,214.8
2022-04-28,216.08,229.99,93.55,1463.0,219.8
2022-04-29,195.49,247.53,85.35,1456.0,219.5
2022-04-30,218.91,250.71,96.38,1457.7,221.3
2022-05-01,242.39,295.46,107.6,1493.6,217.6
2022-05-02,199.52,235.27,89.3,1507.2,218.0
2022-05-03,224.51,267.54,101.3,1506.2,216.4
2022-05-04,235.12,259.11,106.95,1480.5,216.0
2022-05-05,216.84,243.67,99.42,1454.7,218.5
2022-05-06,237.62,267.33,109.81,1449.0,219.4
2022-05-07,208.95,244.39,97.32,1475.3,218.3
2022-05-08,231.01,287.74,108.43,1453.0,215.0
2022-05-09,227.79,271.85,107.75,1464.0,217.5
2022-05-10,213.8,238.51,101.9,1492.2,215.2
2022-05-11,197.63,231.87,94.91,1455.8,216.1
2022-05-12,202.21,235.26,97.84,1494.8,220.0
2022-05-13,187.36,215.02,91.33,1424.6,214.3
2022-05-14,217.89,254.33,107.0,1453.9,221.1
2022-05-15,215.97,261.92,106.84,1449.1,217.8
2022-05-16,211.17,237.8,105.22,1420.9,215.8
2022-05-17,208.42,239.26,104.6,1454.5,216.9
2022-05-18,223.28,273.62,112.85,1466.9,215.3
2022-05-19,211.56,252.93,107.69,1478.2,215.6
2022-05-20,202.07,251.14,103.58,1440.3,216.9
2022-05-21,208.74,261.34,107.75,1391.9,216.1
2022-05-22,227.75,247.94,118.37,1437.3,214.9
2022-05-23,212.39,251.67,111.14,1440.5,216.3
2022-05-24,201.36,229.24,106.09,1418.8,214.1
2022-05-25,204.29,224.34,108.36,1425.7,214.2
2022-05-26,208.87,234.36,111.53,1409.6,214.2
2022-05-27,199.24,229.24,107.1,1414.4,220.1
2022-05-28,197.75,227.6,106.99,1435.3,217.5
2022-05-29,202.2,229.03,110.12,1440.7,217.9
2022-05-30,217.03,253.34,118.96,1385.3,216.7
2022-05-31,209.06,274.08,115.33,1398.4,217.7
2022-06-01,196.4,209.63,109.04,1374.8,219.1
2022-06-02,208.59,257.52,116.54,1441.2,217.5
2022-06-03,199.39,232.7,112.1,1419.8,220.0
2022-06-04,202.14,230.95,114.35,1360.2,216.6
